"Date","Account","Description","Check #","Category","Memo","Credit","Debit"
"05/17/2024","Associated Balanced Checking","Google","","Office Expenses/","","","-5.27"
"05/15/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-100.00"
"05/15/2024","Associated Balanced Checking","American Express","","Payments & Transfers/","","","-60.00"
"05/14/2024","Associated Balanced Checking","Spotify","","Entertainment/","","","-12.11"
"05/14/2024","Associated Balanced Checking","Petco","","Household/","","","-47.13"
"05/13/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-200.00"
"05/13/2024","Associated Balanced Checking","American Express","","Payments & Transfers/","","","-100.00"
"05/13/2024","Associated Balanced Checking","DISCOVER","","Payments & Transfers/","","","-60.00"
"05/13/2024","Associated Balanced Checking","Petco","","Household/","","","-9.99"
"05/13/2024","Associated Balanced Checking","Parkmobile","","Transportation/","","","-1.00"
"05/10/2024","Associated Balanced Checking","DEPT EDUCATION","","Loans & Mortgages/","","","-125.00"
"05/09/2024","Associated Balanced Checking","American Express","","Payments & Transfers/","","","-158.27"
"05/09/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-83.62"
"05/09/2024","Associated Balanced Checking","Chase Credit Card","","Payments & Transfers/","","","-59.45"
"05/07/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-250.00"
"05/07/2024","Associated Balanced Checking","Verizon Fios","","Utilities/","","","-167.50"
"05/07/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-25.00"
"05/07/2024","Associated Balanced Checking","iTunes","","Entertainment/","","1.00",""
"05/07/2024","Associated Balanced Checking","BRANDT INFORMATI PAYROLL  TURCHIK  MARK JAMES","","Paycheck, Pensions & Annuity/","","2833.69",""
"05/06/2024","Associated Balanced Checking","American Express","","Payments & Transfers/","","","-100.00"
"05/06/2024","Associated Balanced Checking","DISCOVER","","Payments & Transfers/","","","-60.00"
"05/06/2024","Associated Balanced Checking","American Express","","Payments & Transfers/","","","-51.52"
"05/06/2024","Associated Balanced Checking","Capital One Credit Card","","Payments & Transfers/","","","-40.00"
"05/06/2024","Associated Balanced Checking","Amazon Prime","","Shopping/","","","-7.51"
"05/06/2024","Associated Balanced Checking","Parkmobile","","Transportation/","","","-1.00"
